Vivado Simulator 2020.2
Time resolution is 1 ps
             0.000ns : [gen] a = 00000000, b = f1167e09, mode = 1, sum = xxxxxxxx,carry = x
             0.000ns : [drv] a = 00000000, b = f1167e09, mode = 1, sum = xxxxxxxx,carry = x
            10.000ns : [mon] a = 00000000, b = f1167e09, mode = 1, sum = 0ee981f7,carry = 1
            10.000ns : [scb] a = 00000000, b = f1167e09, mode = 1, sum = 0ee981f7,carry = 1
[Pass] : a =          0, b = 4044783113, mode = 1, sum =  250184183,carry = 1
            10.000ns : [gen] a = 000003ff, b = ee958189, mode = 1, sum = xxxxxxxx,carry = x
            10.000ns : [drv] a = 000003ff, b = ee958189, mode = 1, sum = xxxxxxxx,carry = x
            20.000ns : [mon] a = 000003ff, b = ee958189, mode = 1, sum = 116a8276,carry = 1
            20.000ns : [scb] a = 000003ff, b = ee958189, mode = 1, sum = 116a8276,carry = 1
[Pass] : a =       1023, b = 4002775433, mode = 1, sum =  292192886,carry = 1
            20.000ns : [gen] a = 0000000f, b = 24e74674, mode = 1, sum = xxxxxxxx,carry = x
            20.000ns : [drv] a = 0000000f, b = 24e74674, mode = 1, sum = xxxxxxxx,carry = x
            30.000ns : [mon] a = 0000000f, b = 24e74674, mode = 1, sum = db18b99b,carry = 1
            30.000ns : [scb] a = 0000000f, b = 24e74674, mode = 1, sum = db18b99b,carry = 1
[Pass] : a =         15, b =  619136628, mode = 1, sum = 3675830683,carry = 1
            30.000ns : [gen] a = 000003ff, b = fa7ff961, mode = 0, sum = xxxxxxxx,carry = x
            30.000ns : [drv] a = 000003ff, b = fa7ff961, mode = 0, sum = xxxxxxxx,carry = x
            40.000ns : [mon] a = 000003ff, b = fa7ff961, mode = 0, sum = fa7ffd60,carry = 0
            40.000ns : [scb] a = 000003ff, b = fa7ff961, mode = 0, sum = fa7ffd60,carry = 0
[Pass] : a =       1023, b = 4202690913, mode = 0, sum = 4202691936,carry = 0
            40.000ns : [gen] a = 000000ff, b = 1a860622, mode = 1, sum = xxxxxxxx,carry = x
            40.000ns : [drv] a = 000000ff, b = 1a860622, mode = 1, sum = xxxxxxxx,carry = x
            50.000ns : [mon] a = 000000ff, b = 1a860622, mode = 1, sum = e579fadd,carry = 1
